Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
"In qiskit.providers, what is a 'provider' primarily responsible for?",Supplying abstract transpiler passes to Qiskit,Providing external services such as Backends to execute QuantumCircuits,Persisting experiment metadata to IBM Cloud,Only simulating circuits locally via Statevector,Providing external services such as Backends to execute QuantumCircuits,A provider exposes external services to Qiskit; the typical example is a Backend provider that yields Backend objects for executing QuantumCircuit objects.
Which statement best describes the versioning of provider interfaces in qiskit.providers?,All interfaces share a single global version number that changes each minor release,Interfaces are not versioned; only Qiskit releases are versioned,Each abstract class is versioned independently; new versions may be introduced with minor Qiskit releases,Version bumps only occur in major releases and are always backward compatible,Each abstract class is versioned independently; new versions may be introduced with minor Qiskit releases,"The docs specify that each providers interface abstract class is individually versioned, and a minor Qiskit release may increment any interface by one version."
What is Qiskit's provider interface version support policy?,New versions immediately deprecate old ones with no overlap,"A provider interface version is supported for a minimum of 3 minor releases or until the first release after 6 months, whichever is longer, before potential deprecation",All versions are supported indefinitely,Old versions are removed in the same release they are deprecated,"A provider interface version is supported for a minimum of 3 minor releases or until the first release after 6 months, whichever is longer, before potential deprecation","The policy grants providers time to migrate; after that window, standard deprecation policy applies."
Which of the following is NOT a required element of a BackendV2 implementation?,A 'target' property describing the backend for the transpiler,A 'max_circuits' property or None,A '_default_options' class method returning an Options object,A 'qobj' schema for circuit submission,A 'qobj' schema for circuit submission,"BackendV2 requires target, max_circuits, run(), and _default_options(). It does not require the legacy qobj schema."
What does BackendV2.target provide to the transpiler?,Runtime image tags for the backend,A model of the backend (via qiskit.transpiler.Target) to guide compilation,Only the coupling map of the backend,The list of job statuses supported by the backend,A model of the backend (via qiskit.transpiler.Target) to guide compilation,"Target encapsulates gate availability, qubit topology, instruction properties, etc., used by transpile()."
"In BackendV2._default_options(), what type should be returned?",A dictionary of option names to defaults,An Options object initialized with default values,A JSON string describing all options,No return is required; options are set via set_options() only,An Options object initialized with default values,"The docs show returning qiskit.providers.Options(shots=..., ...)."
"Which Options API feature lets you constrain acceptable user values (e.g., shots between 1 and 4096)?",Options.register(),Options.validate(schema=...),"Options.set_validator('shots', (1, 4096))","Options.add_constraint('shots', min=1, max=4096)","Options.set_validator('shots', (1, 4096))",Providers can attach validators to Options to enforce bounds and types.
What is the expected return type of BackendV2.run()?,A PrimitiveResult object,A JobV1 (or subclass) object representing the submitted job,A BackendProperties object,"A list of Result objects, one per circuit",A JobV1 (or subclass) object representing the submitted job,The provider's run() submits circuits and returns a Job handle; result() on the job later yields a qiskit.result.Result.
Which statement about provider jobs is TRUE according to the docs?,All jobs must be synchronous,"Async jobs expose status(), cancel(), and result(); sync jobs may directly hold a Result",Jobs cannot raise JobTimeoutError; only RuntimeJobV2 can,Jobs must always implement logs() like RuntimeJobV2,"Async jobs expose status(), cancel(), and result(); sync jobs may directly hold a Result",The docs show both async JobV1 examples and a sync job variant that returns a stored Result.
"When writing a Provider, what is its single primary purpose?",Optimizing circuits using custom passes,Managing authentication and returning Backend objects to execute circuits,Scheduling jobs on the OS process pool,Providing a GUI for selecting devices,Managing authentication and returning Backend objects to execute circuits,"The Provider class mainly exposes methods to list, filter, and get Backends, handling credentials as needed."
"To expose a custom single-qubit gate 'SY' in your backend basis, which step is NOT required?",Define an SYGate subclass of Gate with a unique name,Add SYGate to the Target with allowed qubits and InstructionProperties,Patch OneQubitEulerDecomposer in user code to decompose to SY,"Add equivalences (e.g., for H or U2) to SessionEquivalenceLibrary",Patch OneQubitEulerDecomposer in user code to decompose to SY,"Equivalences are needed; updating core decomposers is optional and long-term, not a required step to expose the gate."
