"In Qiskit’s circuit library, which objects can be directly appended to a QuantumCircuit?",QuantumCircuit and Instruction,Only Gate,Only QuantumCircuit,Only Instruction,QuantumCircuit and Instruction,"Elements in qiskit.circuit.library are either QuantumCircuits or Instructions, both can be appended to circuits."
Which category best describes operations like MCXGate whose concrete decomposition is chosen during transpilation?,Structural operations,Abstract operations,Standard directives,Standard operations (non-unitary),Abstract operations,Abstract operations specify a mathematical action; the compiler chooses a decomposition.
Which category includes ansatz-building helpers returned by functions like real_amplitudes(n)?,Abstract operations,Structural operations,Standard directives,Standard operations,Structural operations,Structural operations have a unique decomposition and are implemented as functions returning a QuantumCircuit.
What does get_standard_gate_name_mapping() return?,A dict name→object for standard gates/instructions,A list of basis gates of the backend,A map from basis to unitary matrices only,A transpilation pass manager,A dict name→object for standard gates/instructions,"It returns a dictionary mapping standard gate/operation names (e.g., 'cx') to their singleton objects."
Which methods are guaranteed to exist on reversible standard gates (subclasses of Gate)?,"to_matrix(), power(), control()","measure(), reset(), barrier()","bind_parameters(), assign_parameters(), snapshot()","compose(), append(), draw()","to_matrix(), power(), control()","Standard gates are unitary; Gate provides to_matrix(), power(), and control() for unitary operations."
Which of the following is NON‑unitary in Qiskit’s standard operations?,RZGate,Reset,SXGate,CXGate,Reset,"Measure and Reset are standard operations (non‑reversible), not unitary gates."
Which of the following is a standard directive that may be ignored by backends/transpiler?,Barrier,Measure,Reset,CX,Barrier,Barrier is a compiler directive; a backend/transpiler may ignore it if unsupported.
The SXGate is best described as:,Rotation around Z by φ,√X (the positive‑phase square root of X),Hadamard,Pauli‑Y,√X (the positive‑phase square root of X),SXGate implements √X; SXdgGate is its inverse.
Which single‑qubit gate family implements rotations about a specified axis in the Bloch sphere?,"UGate(θ,φ,λ)",RX/RY/RZ,H/T/S,IGate only,RX/RY/RZ,"RX, RY, and RZ implement rotations about X, Y, and Z respectively; UGate is a general ZYZ Euler form."
"UGate(θ, φ, λ) corresponds to which decomposition style?",XYZ Euler,ZYZ Euler,ZXZ Euler,Cartan KAK,ZYZ Euler,UGate implements a general single‑qubit rotation in ZYZ Euler angles.
Which pair are commonly used entangling **standard gates**?,CX and CZ,H and S,U and IGate,SX and T,CX and CZ,CX (controlled‑X) and CZ (controlled‑Z) are standard 2‑qubit entanglers.
Which gate swaps the states of two qubits without phase?,iSwap,SWAP,DCX (double‑CNOT) is the primitive swap gate object,ECR,SWAP,SwapGate exchanges |q0⟩ and |q1⟩; iSwap applies |01⟩↔i|10⟩ with a phase.
Which parametric interaction performs a rotation about X⊗X?,RZZGate(θ),RZXGate(θ),RXXGate(θ),RYYGate(θ),RXXGate(θ),"RXX rotates around the XX two‑qubit Pauli interaction; similarly RYY, RZZ, RZX."
The ECRGate (echoed cross‑resonance) is typically used to:,Implement a global phase,Reduce idle errors,Realize an entangling interaction derived from CR,Reset a qubit to |0⟩,Realize an entangling interaction derived from CR,ECR is an echoed CR‑based entangling gate widely used on IBM hardware backends.
"Consider the abstract MCXGate(4). During transpilation on a device with idle ancillas, compared to no ancillas, the circuit will generally become:",Deeper (more 2‑qubit gates),Shallower (fewer 2‑qubit gates),Identical depth always,Invalid; MCX cannot use ancillas,Shallower (fewer 2‑qubit gates),Abstract ops can leverage available ancillas to reduce depth/2‑qubit count per the example in docs.
Which of the following multi‑qubit gates is a common exam‑relevant primitive?,C3XGate only,RC3XGate only,CCXGate (Toffoli),GR gate family,CCXGate (Toffoli),CCX (Toffoli) appears frequently; higher‑controlled variants exist but are less common for basics.
What does GlobalPhaseGate(θ) change?,Relative phases between computational basis states,Measurement results directly,Only a global phase e^{iθ} (physically unobservable),It swaps |0⟩ and |1⟩,Only a global phase e^{iθ} (physically unobservable),Global phases do not affect measurement probabilities but can matter in composition/algebra.
Which statement about Measure is correct?,It is a unitary gate returning a Gate,It is a non‑unitary operation mapping a qubit to a classical bit,It resets qubits to |0⟩,It inserts a compiler barrier,It is a non‑unitary operation mapping a qubit to a classical bit,Measure is a standard operation (non‑reversible) producing classical outcomes.
