"In Qiskit, an *abstract* circuit is defined over ____ and arbitrary high-level operations.",hardware qubits,virtual qubits,logical qubits only,pulse channels,virtual qubits,Abstract circuits use virtual qubits and high-level ops; mapping to hardware yields a physical circuit via transpile().
Which function is the top-level entry point to convert an abstract circuit to a physical one for a backend/target?,assemble(),transpile(),run(),execute(),transpile(),Use qiskit.compiler.transpile to map a circuit to a backend's ISA/basis/coupling constraints.
What does QuantumCircuit.ensure_physical() do?,Compiles to basis gates and enforces coupling,Marks the circuit as physical in metadata without enforcing basis/coupling,Converts all gates to pulses,Adds measurements to every qubit,Marks the circuit as physical in metadata without enforcing basis/coupling,ensure_physical rewrites metadata to treat indices as hardware qubits; it does not compile like transpile().
The scalar elements of QuantumCircuit.data are instances of:,Instruction,Gate,CircuitInstruction,Operation,CircuitInstruction,QuantumCircuit.data holds CircuitInstruction objects pairing an operation with specific qubit/clbit operands.
Which statement is true about CircuitInstruction objects in QuantumCircuit.data?,They are fully mutable views and edits mutate the circuit,They are Rust-backed handles; you generally shouldn't mutate them directly,They are plain tuples and immutable,"They store only names, not operands",They are Rust-backed handles; you generally shouldn't mutate them directly,CircuitInstruction is a handle to internal data; use QuantumCircuit methods or transpiler/DAG to mutate circuits.
Methods like QuantumCircuit.append(...) return an InstructionSet primarily to:,Collect multiple inserted instructions for limited post-append edits,Provide a simulator interface,Return measurement outcomes,Replace BasisTranslator,Collect multiple inserted instructions for limited post-append edits,InstructionSet is a minimal legacy handle for slices of appended instructions; heavy mutation is discouraged.
Which is the minimal interface for something that can appear as an operation in a CircuitInstruction?,ControlledGate,Gate,Instruction,Operation,Operation,Operation is the minimal abstract interface; Instruction/Gate/ControlledGate are concrete subclasses.
Which class represents a hardware-executable instruction that may be non-unitary?,Operation,Instruction,Gate,ControlledGate,Instruction,Instruction can be unitary or not; Gate is specifically unitary.
Which class adds unitarity guarantees plus to_matrix() and control() methods?,Operation,Instruction,Gate,CircuitInstruction,Gate,Gate is a unitary Instruction and provides to_matrix() and control().
ControlledGate is best described as:,An annotation that always defers to compiler,A unitary Gate with built-in control structure and lazy synthesis,A non-unitary control-flow Op,A Measure wrapper,A unitary Gate with built-in control structure and lazy synthesis,ControlledGate subclasses Gate to represent controlled versions with built-in synthesis of controls.
SingletonInstruction/SingletonGate are used to:,Create many mutable copies by default,Provide canonical singleton objects for standard ops,Disable decomposition,Force pulse scheduling,Provide canonical singleton objects for standard ops,"qiskit.circuit.singleton contains singleton forms of Instruction/Gate/ControlledGate (e.g., XGate())."
"If you need a safe-to-mutate copy of a possibly singleton object, you should first call:",freeze(),copy(),to_mutable(),as_gate(),to_mutable(),"to_mutable() returns an owned, mutable copy; base_class gives the underlying class type."
Which operation measures a Qubit into a Clbit in the computational basis?,Measure,Reset,Delay,Barrier,Measure,Measure consumes a Qubit and writes its outcome into a Clbit.
