Question,A,B,C,D,Correct,Explanation
Which pass assigns n circuit qubits to physical qubits 0..n-1 in order?,SetLayout,TrivialLayout,DenseLayout,SabreLayout,TrivialLayout,TrivialLayout chooses a layout by mapping qubits to 0..n-1 directly.
Which pass finds the most connected subset of qubits to place a circuit on?,DenseLayout,SabreLayout,VF2Layout,CSPLayout,DenseLayout,DenseLayout selects a layout by locating the most connected subset of device qubits.
Which pass chooses a layout via iterative bidirectional routing of the input circuit?,SabreLayout,TrivialLayout,SetLayout,ApplyLayout,SabreLayout,SabreLayout uses the SABRE heuristic with bidirectional routing to pick a layout.
Which pass formulates layout as a constraint satisfaction problem using backtracking?,CSPLayout,VF2Layout,DenseLayout,SabrePreLayout,CSPLayout,CSPLayout attempts layout via CSP with backtracking.
Which pass solves layout as a subgraph isomorphism problem using VF2++?,VF2Layout,SetLayout,ApplyLayout,Layout2qDistance,VF2Layout,VF2Layout maps the circuit onto the coupling graph via VF2++ subgraph isomorphism.
Which pass applies or updates the mapping of virtual to physical qubits in the DAG?,ApplyLayout,SetLayout,TrivialLayout,Layout2qDistance,ApplyLayout,ApplyLayout mutates the DAGCircuit to reflect the chosen qubit mapping.
"Which pass evaluates how good the selected layout is (e.g., distance for 2q ops)?",Layout2qDistance,VF2Layout,DenseLayout,SabrePreLayout,Layout2qDistance,Layout2qDistance scores the layout based on two‑qubit distances.
Which pass extends the DAG with virtual qubits that are in the layout but not yet used?,EnlargeWithAncilla,FullAncillaAllocation,SetLayout,ApplyLayout,EnlargeWithAncilla,EnlargeWithAncilla adds virtual qubits present in the layout into the circuit DAG.
Which pass allocates all idle nodes from the coupling map/target as ancilla on the layout?,FullAncillaAllocation,EnlargeWithAncilla,SabrePreLayout,DenseLayout,FullAncillaAllocation,FullAncillaAllocation populates the layout with available idle qubits as ancilla.
Which pass picks a starting layout for additional SABRE layout trials?,SabrePreLayout,SabreLayout,VF2Layout,CSPLayout,SabrePreLayout,SabrePreLayout helps seed SABRE with a good initial layout.
Which routing pass maps a circuit with minimal effort by inserting SWAP gates as needed?,BasicSwap,SabreSwap,LookaheadSwap,LayoutTransformation,BasicSwap,BasicSwap performs simple swap insertion to satisfy connectivity.
Which routing pass performs SWAP insertion using a lookahead heuristic?,LookaheadSwap,SabreSwap,BasicSwap,Commuting2qGateRouter,LookaheadSwap,LookaheadSwap uses a heuristic that looks ahead to future gates.
Which routing pass routes by inserting SWAPs using SABRE’s heuristic during routing?,SabreSwap,BasicSwap,StarPreRouting,LayoutTransformation,SabreSwap,SabreSwap uses the SABRE heuristic to insert SWAPs efficiently.
Which pass adds a SWAP circuit to implement a given (partial) permutation of qubits?,LayoutTransformation,Commuting2qGateRouter,BasicSwap,LookaheadSwap,LayoutTransformation,LayoutTransformation synthesizes a swap network for a specified permutation.
Which pass swap‑routes one or more commuting two‑qubit gates to fit the coupling map?,Commuting2qGateRouter,SabreSwap,BasicSwap,VF2PostLayout,Commuting2qGateRouter,Commuting2qGateRouter handles commuting 2Q gates collectively for routing.
Which pre‑routing step converts star to linear topology before routing?,StarPreRouting,LookaheadSwap,SabreSwap,BasicSwap,StarPreRouting,StarPreRouting performs a star‑to‑linear pre‑routing transformation.
Which pass translates gates to a target basis using an EquivalenceLibrary search?,BasisTranslator,Decompose,Unroll3qOrMore,TranslateParameterizedGates,BasisTranslator,BasisTranslator uses equivalence rules to map to a target basis.
Which pass expands a gate using its own decomposition rules in the circuit?,Decompose,BasisTranslator,UnitarySynthesis,SolovayKitaev,Decompose,Decompose replaces a gate with its definition stored on the instruction.
Which pass translates parameterized gates to a supported basis set?,TranslateParameterizedGates,Unroll3qOrMore,BasisTranslator,HighLevelSynthesis,TranslateParameterizedGates,TranslateParameterizedGates handles parameterized gates specifically.
Which pass recursively expands 3+ qubit gates until only 1q/2q remain?,Unroll3qOrMore,UnitarySynthesis,Decompose,BasisTranslator,Unroll3qOrMore,Unroll3qOrMore reduces multi‑qubit gates to 1Q/2Q primitives.
Which pass unrolls instructions that have custom definitions?,UnrollCustomDefinitions,Decompose,BasisTranslator,UnitarySynthesis,UnrollCustomDefinitions,UnrollCustomDefinitions replaces custom instructions with their definitions.
Which pass collects one‑qubit subcircuits for later consolidation/optimization?,Collect1qRuns,Collect2qBlocks,Optimize1qGates,ConsolidateBlocks,Collect1qRuns,Collect1qRuns groups contiguous 1Q operations.
Which pass collects two‑qubit subcircuits?,Collect2qBlocks,Collect1qRuns,Split2QUnitaries,OptimizeCliffords,Collect2qBlocks,Collect2qBlocks gathers contiguous 2Q regions.
