Question,A,B,C,D,Correct,Explanation
When were the V1 primitives (Sampler and Estimator) removed from qiskit-ibm-runtime support?,15 August 2024,30 September 2024,1 January 2024,15 August 2023,15 August 2024,The docs state V1 Sampler and Estimator support was removed on 15 August 2024.
What is the recommended import to begin migrating code to Estimator V2 while keeping the name 'Estimator'?,from qiskit_ibm_runtime import EstimatorV2 as Estimator,from qiskit_ibm_runtime import Estimator,from qiskit_ibm_runtime.primitives import EstimatorV2,import EstimatorV2 as Estimator from qiskit_ibm_runtime,from qiskit_ibm_runtime import EstimatorV2 as Estimator,"The guide recommends explicit V2 import, e.g., `EstimatorV2 as Estimator` for easier migration."
Which tuple best matches a Sampler V2 PUB?,"(<circuit>, <parameter values>, <shots>)","(<circuit>, <observables>, <parameter values>, <precision>)","(<circuit list>, <shots>)","(<circuit>, <counts>)","(<circuit>, <parameter values>, <shots>)",Sampler V2 PUBs are tuples of circuit and optionally parameter values and shots.
Which tuple best matches an Estimator V2 PUB?,"(<circuit>, <observables>, <parameter values>, <precision>)","(<circuit>, <parameter values>, <shots>)","(<circuit>, <observables>, <shots>)","(<circuit>, <precision>, <observables>, <parameter values>)","(<circuit>, <observables>, <parameter values>, <precision>)","Estimator V2 PUBs include circuit, observables, optional parameter values, and optional precision."
How are multiple observables and parameter sets combined within a single PUB in V2 primitives?,By NumPy broadcasting rules,By Cartesian product expansion coded manually,By repeating the circuit explicitly in the input list,By automatic outer join of counts,By NumPy broadcasting rules,The guide states that NumPy broadcasting rules are used to combine observables and parameter values.
What does Sampler V2 return for measurement outcomes?,Per-shot bitstrings organized by classical register name,Quasi-probability distributions,Statevectors for each shot,Expectation values and variances,Per-shot bitstrings organized by classical register name,Sampler V2 focuses on sampling and returns per-shot bitstrings; V1 returned quasi-dists.
Which convenience method is mentioned for Sampler V2 results?,get_counts(),get_quasi_probs(),get_statevector(),get_expectation_values(),get_counts(),Sampler V2 includes convenience methods like `get_counts()`.
"If you used `measure_all()` and did not create custom ClassicalRegisters, what is the default classical register name in Sampler V2 results?",meas,c,creg,out,meas,The docs specify the default classical register is named `meas`.
What kind of circuits and observables do V2 primitives accept?,Only ISA-compliant objects supported by the target backend,Any Qiskit circuit; transpilation is done inside the primitive,Only ideal statevector circuits,Only circuits with no classical registers,Only ISA-compliant objects supported by the target backend,V2 primitives do not perform layout/routing/translation; inputs must match the backend ISA.
Who is responsible for transpiling circuits for V2 primitives?,The user (outside the primitive),The primitive automatically transpiles,The backend does implicit transpilation at runtime,No transpilation is needed for V2,The user (outside the primitive),The guide points to the transpilation docs; primitives do not transpile.
"In Estimator V2, what appears in the PubResult data?",Expectation values and standard errors (stds),Expectation values and variances,Quasi-probabilities and counts,Only expectation values; no errors,Expectation values and standard errors (stds),The data portion contains expectation values and standard errors; V1 had variance in metadata.
Which statement about resilience levels is true for Sampler V2?,Sampler V2 does not support resilience levels,Sampler V2 supports levels 0–2,Sampler V2 supports level 3 only,Sampler V2 uses optimization_level to set resilience,Sampler V2 does not support resilience levels,The guide explicitly states Sampler V2 returns raw samples and does not support resilience levels.
Which resilience levels are supported by Estimator V2?,0–2,0–3,Only 2,Only 1–3,0–2,Estimator V2 supports levels 0–2 and removes level 3 (PEC only via explicit option).
